namespace,country,system_owner_code,system_owner,code_system,code_system_name,differentiating_code_system,differentiating_code_system_description,area_code,area_name,area_type,typology,species_specific,parent_area,layer_name,source,georef,georef_code,shape_file,coordinates,x_west,x_east,y_south,y_north
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,1,Timor Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 1,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,2,Timor Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 2,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,3,Northwest Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 3,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,4,Northwest Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 4,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,5,Central Western Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 5,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,6,Central Western Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 6,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,7,Southwest Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 7,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,8,Southern Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 8,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,9,West Tasmania Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 9,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,10,Tasmania Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 10,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,11,Southeast Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 11,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,12,Central Eastern Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 12,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,13,Tasman Basin Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 13,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,14,Lord Howe Province,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 14,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,15,Central Eastern Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 15,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
aus_pb,aus,awe,"Australian Government Department of Agriculture, Water and Environment",pb,Provincial Bioregions,NA,NA,16,Kenn Transition,Privincial Bioregion,Statistical area,No,eez:AUS,Australian Provincial Bioregion 16,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,imcra4_pb,PB_NUM,imcra4_pb.zip,https://parksaustralia.gov.au/marine/management/resources/scientific-publications/guide-integrated-marine-and-coastal-regionalisation-australia-version-40-june-2006-imcra/,NA,NA,NA,NA
