namespace,system_owner_code,publishable,grsf_sourceoftruth,grsf_creation,grsf_licence,source_link,useLimitation
arg_inidep_sqa,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source citation https://www.argentina.gob.ar/sites/default/files/sismica.pdf
arg_inidep_sqa_mngmt,inidep,yes,TRUE,from_coordinates,na,https://www.argentina.gob.ar/sites/default/files/sismica.pdf,Source citation https://www.argentina.gob.ar/sites/default/files/sismica.pdf
aus_csiro,csiro,yes,TRUE,none,Copyright,http://www.cmar.csiro.au/geonetwork/srv/en/metadata.show?uuid=urn:cmar.csiro.au:dataset:12887&currTab=full,Copyright © Commonwealth Scientific and Industrial Research Organisation. Any use of copyright material on this website is subject to first receiving consent
aus_cwf,afma,no,TRUE,none,copyright,https://www.afma.gov.au/sustainability-environment/fishing-closures/closure-direction-maps,Copyright Act 1968 (https://www.legislation.gov.au/C1968A00063/latest/versions) source from https://www.afma.gov.au/fisheries/fishing-closures/maps-directions-closures-and-fishing-areas
aus_frdc_chp,frdc,yes,TRUE,from_coordinates,CC BY 4.0,https://www.researchgate.net/publication/313019406_Integrated_approach_to_determining_stock_structure_implications_for_fisheries_management_of_sardine_Sardinops_sagax_in_Australian_waters,"CC BY 4.0 - FRDC. Izzo, Chris & Ward, Timothy & Ivey, Alex & Suthers, Iain & Stewart, John & Sexton, Stuart & Gillanders, Bronwyn. (2017). Integrated approach to determining stock structure: implications for fisheries management of sardine, Sardinops sagax, in Australian waters. Reviews in Fish Biology and Fisheries. 27. 1-18. 10.1007/s11160-017-9468-z."
aus_gov_adw,gov.au,yes,TRUE,none,CC BY 3.0 AU,https://data.gov.au/dataset/ds-ga-0a644b00-1acd-4fa6-bb18-5c4624fff23c/details?q=,"CC BY 3.0 AU - This dataset was originally found on Geoscience Australia ""Offshore Petroleum and Greenhouse Gas Storage Act 2006 - Australian Maritime Boundaries 2020 (AMB2020) - Geodatabase""."
aus_mb,awe,yes,TRUE,none,CC BY 4.0 DEED,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BE6EED98E-2800-424F-A1E9-D489E71E99BB%7D,CC licence https://www.data.gov.au/page/about
aus_nsw_cf,nswdpi,yes,TRUE,from_coordinates,CC BY 4.0,https://www.dpi.nsw.gov.au/fishing/commercial/fisheries,"CC BY 4.0 © State of New South Wales. For current information go to www.nsw.gov.au. The State of New South Wales supports and encourages the reuse of its publicly funded information, and endorses the use of the Australian Governments Open Access and Licensing Framework (AusGOAL)."
aus_pb,awe,yes,TRUE,none,CC BY 4.0 DEED,http://www.environment.gov.au/fed/catalog/search/resource/downloadData.page?uuid=%7BFE2137A8-D746-4DF6-A18C-04B9E9292B13%7D,CC licence https://www.data.gov.au/page/about
aus_qld_cf,qld,yes,TRUE,none,CC BY 4.0,https://www.business.qld.gov.au/industries/farms-fishing-forestry/fisheries/commercial/profile,CC BY 4.0 © The State of Queensland 2024. The Queensland Government supports and encourages the distribution of its material.
aus_sa_cf,pirsa,yes,TRUE,from_coordinates,CC BY 4.0,https://pir.sa.gov.au/primary_industry/commercial_fishing/commercial_fisheries,"CC BY 4.0 - PIRSA. Attribution to: Department of Primary Industries and Regions, the Government of South Australia, Commercial fisheries maps, Sourced on 20.06.2024, https://pir.sa.gov.au/primary_industry/commercial_fishing/commercial_fisheries"
aus_wa,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_cmf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_isbsf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_oimf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_pmf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
aus_wa_wcrlf,wafic,yes,TRUE,from_coordinates,Copyright,https://www.wafic.org.au/our-industry/interactive-map/,"Copyright - Material on this website, including text and images, is protected by copyright law and is copyright to WAFIC unless credited otherwise. It may not be copied, reproduced, republished, downloaded, posted, broadcast or transmitted in any way except for your own personal, non-commercial use. Prior written consent of the copyright holder must be obtained for any other use of material. No part of this site may be distributed or copied for any commercial purpose or financial gain. All intellectual property rights in relation to this website are reserved and owned by WAFIC."
