vocabulary,error
../water_areas_vocabulary/can_areas.csv,No shapefile 'pfma_areas_format_dissolve.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/can_areas.csv,No shapefile 'dfo_east_stimpsons_surfclam_areas_erase.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/can_areas.csv,No georef_code 'are_code' column in shapefile
../water_areas_vocabulary/cecaf_areas.csv,No shapefile 'NWA_zones.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/gfcm_areas.csv,Non-standard structure for vocabulary file
../water_areas_vocabulary/iattc_areas.csv,No shapefile 'IATTC_assessment_areas.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/iccat_areas.csv,No shapefile 'ICCAT_assessment_areas.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/ices_areas.csv,No shapefile 'Nephrops_FU_20160621.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/ices_areas.csv,No shapefile 'ices_sandeel_areas.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/idn_areas.csv,Non-standard structure for vocabulary file
../water_areas_vocabulary/iotc_areas.csv,No shapefile 'IOTC_assessment_areas.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/isc_areas.csv,No shapefile 'isc_assareas_ram.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/jpn_areas.csv,No shapefile 'JPN_assessment_areas.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/jpn_areas.csv,No shapefile 'RAMLDB_assessment_areas.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/jpn_areas.csv,No shapefile 'MarineRegionsJapan.zip' in 'water_areas_shapefiles' repository
../water_areas_vocabulary/lme_areas.csv,Non-standard structure for vocabulary file
../water_areas_vocabulary/phl_areas.csv,Non-standard structure for vocabulary file
../water_areas_vocabulary/ramldb_areas.csv,No georef_code 'New Area I' column in shapefile
../water_areas_vocabulary/siofa_areas.csv,No shapefile 'siofa_sub_areas.zip' in 'water_areas_shapefiles' repository
